matrix_count,min_cost
5,600
6,687.5
7,500
8,453.125
9,416.667
10,525
11,579.545
12,479.167
13,451.923
14,526.786
15,566.667
16,648.438
17,676.471
18,659.722
19,684.211
20,668.75
21,660.714
22,710.227
23,690.217
24,708.333
25,755
26,802.885
27,731.481
28,709.821
29,737.069
30,750
31,705.645
32,707.031
33,719.697
34,676.471
35,678.571
36,708.333
37,695.946
38,723.684
39,711.538
40,706.25
41,716.463
42,744.048
43,732.558
44,727.273
45,702.778
46,703.804
47,726.064
48,734.375
49,704.082
50,712.5
51,705.882
52,725.962
53,733.491
54,754.63
55,745.455
56,725.446
57,739.035
58,760.776
59,766.949
60,785.417
61,805.328
62,796.371
63,791.667
64,773.438
65,778.846
66,784.091
67,800.373
68,773.897
69,784.42
70,760.714
71,765.845
72,746.528
73,746.575
74,731.419
75,736.667
76,718.75
77,724.026
78,729.167
79,734.177
80,739.062
81,734.568
82,746.951
83,724.398
84,724.702
85,729.412
86,742.733
87,737.069
88,741.477
89,754.213
90,733.333
91,726.648
92,726.902
93,724.462
94,722.074
95,719.737
96,730.469
97,725.515
98,735.969
99,717.172
100,721.25
101,717.822
102,715.686
103,725.728
104,729.567
105,733.333
106,737.028
107,733.645
108,743.056
109,746.56
110,732.955
111,727.477
112,734.375
113,720.133
114,723.684
115,727.174
116,724.138
117,732.906
118,743.644
119,746.849
120,743.75
121,741.736
122,739.754
123,737.805
124,745.968
125,749
126,757.937
127,767.717
128,770.508
129,779.07
130,788.462
131,784.351
132,786.932
133,795.113
134,797.575
135,800
136,802.39
137,810.219
138,806.159
139,803.957
140,801.786
141,793.44
142,788.732
143,788.462
144,795.139
145,803.448
146,799.658
147,791.667
148,793.919
149,784.396
150,789.167
151,778.146
152,782.895
153,772.059
154,776.786
155,784.677
156,792.468
157,781.847
158,786.392
159,775.943
160,778.125
161,775.621
162,773.92
163,776.074
164,782.774
165,779.545
166,785.392
167,782.186
168,775.298
169,775.148
170,773.529
171,779.24
172,781.25
173,778.902
174,780.891
175,772.143
176,768.466
177,768.362
178,770.365
179,768.156
180,766.667
181,765.193
182,767.17
183,769.126
184,760.87
185,757.432
186,759.409
187,761.364
188,767.287
189,757.937
190,757.895
191,763.089
192,764.974
193,762.953
194,768.041
195,769.872
196,767.857
197,772.843
198,779.04
199,769.472
200,766.25
201,763.06
202,762.995
203,764.778
204,770.221
205,776.22
206,773.665
207,775.362
208,773.438
209,775.12
210,776.786
211,778.436
212,771.226
213,772.887
214,774.533
215,768.023
216,769.676
217,763.249
218,764.908
219,769.977
220,775.568
221,777.149
222,770.833
223,770.74
224,772.321
225,765.556
226,768.805
227,770.374
228,764.254
229,764.192
230,768.478
231,760.281
232,763.47
233,761.266
234,762.821
235,767.553
236,772.775
237,777.954
238,783.088
239,784.519
240,789.062
241,790.456
242,784.091
243,787.037
244,788.422
245,792.857
246,790.65
247,794.534
248,799.395
249,800.703
250,805
251,806.275
252,804.563
253,808.3
254,806.102
255,807.353
256,811.523
257,816.148
258,817.345
259,815.637
260,814.423
261,818.008
262,822.519
263,815.114
264,812.5
265,813.679
266,808.271
267,808.052
268,811.567
269,812.732
270,813.889
271,812.269
272,811.121
273,809.982
274,811.131
275,815
276,807.971
277,807.762
278,803.507
279,806.004
280,807.143
281,805.605
282,801.418
283,802.562
284,806.338
285,804.386
286,800.262
287,800.087
288,796.007
289,793.685
290,791.379
291,789.089
292,791.524
293,789.676
294,792.942
295,791.102
296,794.341
297,792.508
298,795.721
299,793.896
300,792.917
